Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1511308800000,0.044673,0.046767,0.0441,0.046352,120872.047,1511395199999,5410.60347758,74964,58518.927,2621.25172994,252955.66138206
1511395200000,0.046317,0.052357,0.04575,0.05075,154931.309,1511481599999,7548.51849349,93406,73822.965,3599.87157706,268877.25536221
1511481600000,0.050841,0.058501,0.047851,0.05765,143892.124,1511567999999,7580.70169051,105033,66470.795,3501.85737887,261817.15191048
1511568000000,0.05765,0.059401,0.05275,0.05275,105104.051,1511654399999,5838.5404282,99420,48228.944,2679.22652621,263724.7069273
1511654400000,0.052802,0.052905,0.0478,0.050704,106260.859,1511740799999,5382.8281764,98778,51437.461,2604.23900176,264872.45071353
1511740800000,0.050697,0.0512,0.048409,0.048897,103023.746,1511827199999,5106.62221425,132736,47519.195,2355.81118306,260705.71717783
1511827200000,0.048896,0.049478,0.046144,0.047036,106882.329,1511913599999,5107.63534604,96044,48680.848,2325.99948087,258884.6755916
1511913600000,0.04699,0.047887,0.042939,0.043414,178814.926,1511999999999,8077.88434759,130789,84381.542,3812.61700879,259504.35194055
1512000000000,0.043375,0.0446,0.0425,0.043651,128643.983,1512086399999,5602.60073339,101225,66401.702,2892.08548122,270225.69708239
1512086400000,0.043684,0.044329,0.042275,0.042397,83006.121,1512172799999,3596.96984104,76803,40633.859,1761.03625471,269562.18933427
1512172800000,0.042397,0.0427,0.0416,0.041978,89215.306,1512259199999,3758.35169188,92378,43722.568,1842.25918823,264122.66674083
1512259200000,0.041937,0.042371,0.040418,0.041141,88525.846,1512345599999,3662.13413428,82078,42123.848,1743.3484846,270057.36612993
1512345600000,0.041155,0.041312,0.040071,0.040181,98930.818,1512431999999,4016.47696198,95553,47442.925,1926.88348071,278606.01147278
1512432000000,0.040182,0.040367,0.038308,0.038757,144245.021,1512518399999,5674.75665019,140350,71997.752,2832.13087024,307810.37312273
1512518400000,0.038717,0.038859,0.029406,0.030396,197234.693,1512604799999,6828.88106465,165713,100140.586,3469.86389275,324290.08086243
1512604800000,0.030396,0.032059,0.024251,0.024565,189629.165,1512691199999,5327.3327155,182840,95415.121,2679.62449423,310293.1155935
1512691200000,0.024562,0.032,0.023121,0.027855,182157.588,1512777599999,5041.75047725,221640,91865.46,2525.90681808,317685.38202946
1512777600000,0.027863,0.0349,0.027254,0.031311,172054.661,1512863999999,5399.82876333,177815,86936.636,2723.23897148,344943.86873932
1512864000000,0.031317,0.032896,0.027887,0.028692,147319.083,1512950399999,4525.42022745,151851,77086.102,2366.49479366,346691.14620742
1512950400000,0.028692,0.0312,0.026746,0.0307,161365.035,1513036799999,4568.05001634,148398,81756.659,2313.56403768,352449.85730046
1513036800000,0.030701,0.04,0.029773,0.038,343528.145,1513123199999,11731.90530402,265861,159081.047,5418.00067975,396813.55146361
1513123200000,0.038,0.044245,0.036052,0.04281,245846.142,1513209599999,9850.76234496,231326,120886.114,4838.95113108,413062.23910461
1513209600000,0.042811,0.0465,0.0396,0.041549,313120.517,1513295999999,13483.96662078,305154,149946.839,6444.86517394,498596.7259526
1513296000000,0.04155,0.04166,0.033501,0.038579,242164.913,1513382399999,9118.41046237,237823,122339.5,4601.40759313,469087.52809448
1513382400000,0.038579,0.040898,0.0348,0.035561,231007.092,1513468799999,8723.59749337,201459,108347.822,4087.20210982,474585.69465775
1513468800000,0.03556,0.038605,0.035532,0.037448,243293.263,1513555199999,8995.75914993,263590,119238.8,4410.51755387,492287.64610709
1513555200000,0.037343,0.043112,0.036995,0.041569,317888.672,1513641599999,12440.51326809,310378,152524.82,5964.02605593,0.0
1513641600000,0.04153,0.047,0.040957,0.046212,317638.758,1513727999999,14266.68078194,374718,146512.728,6584.42455713,0.0
1513728000000,0.046229,0.049,0.044,0.048268,313914.69,1513814399999,14721.19208895,358044,145477.141,6824.66959122,0.0
1513814400000,0.048266,0.0517,0.047601,0.05063,330898.373,1513900799999,16450.2950198,360595,156090.409,7763.09104182,0.0
1513900800000,0.05058,0.051491,0.04534,0.047606,369569.077,1513987199999,17912.26488012,416572,176645.466,8562.47952539,0.0
1513987200000,0.047601,0.049019,0.047498,0.04814,283169.619,1514073599999,13683.99015654,330930,137894.095,6667.02614855,0.0
1514073600000,0.04814,0.049246,0.0477,0.048795,252967.984,1514159999999,12244.76984705,282446,125938.781,6100.47066258,0.0
1514160000000,0.048765,0.054999,0.0487,0.052153,272863.301,1514246399999,14166.87369821,295182,129153.848,6711.69514013,0.0
1514246400000,0.052059,0.0538,0.046282,0.047805,271857.642,1514332799999,13348.705531,318788,129506.572,6360.13356883,0.0
1514332800000,0.047806,0.049,0.0463,0.047804,231755.636,1514419199999,11087.27692184,296215,112823.603,5397.3479757,0.0
1514419200000,0.047804,0.0517,0.047584,0.049853,257969.986,1514505599999,12740.83676334,323540,122252.773,6039.37870263,0.0
1514505600000,0.049883,0.052,0.0495,0.05102,299450.249,1514591999999,15195.01313765,390379,141626.81,7189.30080537,0.0
1514592000000,0.051021,0.055301,0.05,0.055127,382154.486,1514678399999,20313.15967264,481478,182528.162,9708.82885956,0.0
1514678400000,0.05506,0.055449,0.052309,0.053586,318642.663,1514764799999,17217.2440325,435082,152151.714,8223.09351585,0.0
1514764800000,0.053586,0.0572,0.053401,0.056367,312440.757,1514851199999,17404.15888156,406017,150566.088,8389.50328492,0.0
1514851200000,0.056368,0.066265,0.05104,0.058261,492006.759,1514937599999,30046.04448991,656785,234144.312,14291.85749229,0.0
1514937600000,0.0583,0.06421,0.056449,0.0626,469486.617,1515023999999,27812.69661769,654095,217935.111,12922.2798503,0.0
1515024000000,0.0626,0.07,0.060125,0.062236,595991.613,1515110399999,38477.31889398,872477,283608.904,18313.39141126,0.0
1515110400000,0.062449,0.069758,0.054,0.056584,710527.221,1515196799999,44244.9907145,945045,345391.452,21479.25507307,0.0
1515196800000,0.056579,0.063,0.055549,0.058817,511471.697,1515283199999,30446.50285902,614991,244856.69,14581.15614952,0.0
1515283200000,0.058817,0.069811,0.058689,0.069313,471299.849,1515369599999,30710.6332811,615048,223526.909,14584.05743543,0.0
1515369600000,0.069323,0.07948,0.069002,0.076015,540080.194,1515455999999,40467.47370361,688927,258326.292,19360.45550528,0.0
1515456000000,0.076015,0.093,0.075956,0.08965,466451.409,1515542399999,38421.94600368,677708,225495.003,18597.66702093,0.0
1515542400000,0.089659,0.101004,0.08282,0.083884,494668.021,1515628799999,46238.55391934,618149,233853.284,21865.00260812,0.0
1515628800000,0.083881,0.092216,0.082987,0.08597,374525.355,1515715199999,33208.69252648,612704,177667.148,15755.04103109,0.0
1515715200000,0.08597,0.092016,0.085,0.09132,193626.311,1515801599999,17305.15896708,331001,88931.152,7949.88762964,0.0
1515801600000,0.09132,0.10051,0.08985,0.097617,343789.564,1515887999999,32536.64785539,650271,160656.339,15217.44613829,0.0
1515888000000,0.097693,0.1,0.09555,0.09986,240883.298,1515974399999,23576.2999158,445204,115141.367,11274.95090222,0.0
1515974400000,0.09986,0.101219,0.0895,0.09412,257713.865,1516060799999,24648.54797534,456674,120153.358,11488.96249312,0.0
1516060800000,0.0941,0.095758,0.081,0.091855,343244.935,1516147199999,31268.62455293,493120,154262.003,14080.67058152,0.0
1516147200000,0.091842,0.09378,0.083461,0.091219,373774.581,1516233599999,33097.10747481,674555,178779.083,15842.41509866,0.0
1516233600000,0.091218,0.093,0.087938,0.090617,320324.082,1516319999999,28943.55979828,545604,149769.032,13541.41486181,0.0
1516320000000,0.090617,0.093,0.09,0.090084,230596.472,1516406399999,20981.223895,413822,107861.514,9818.04970036,0.0
1516406400000,0.09,0.091259,0.0879,0.09017,210464.87,1516492799999,18866.93904174,405752,104175.989,9342.01935097,0.0
1516492800000,0.090158,0.0926,0.0892,0.091001,174311.959,1516579199999,15816.27662325,354598,87042.831,7901.27308192,0.0
1516579200000,0.091001,0.09299,0.09052,0.092187,200912.515,1516665599999,18461.43603253,398304,95951.282,8821.60140648,0.0
